theme,theme_name,doc_id,source,title,notes
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,ndrc_2024_consumer_new_scenarios,data/raw/policy/ndrc_2024_consumer_new_scenarios.pdf,关于打造消费新场景培育消费新增长点的措施,发改委等部门政策文件；覆盖消费新场景、文旅、服务消费和消费增长点
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,ndrc_2024_energy_equipment_update_plan,data/raw/policy/ndrc_2024_energy_equipment_update_plan.pdf,能源重点领域大规模设备更新实施方案,发改委/能源局政策文件；覆盖能源设备更新、风电光伏和电网改造
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,ndrc_2024_equipment_update_consumer_trade_in,data/raw/policy/ndrc_2024_equipment_update_consumer_trade_in.pdf,关于加力支持大规模设备更新和消费品以旧换新的若干措施,发改委/财政部政策文件；覆盖设备更新、消费品以旧换新、汽车和家电消费
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020201029597065666501,data/raw/policy/P020201029597065666501.pdf,近期扩内需促消费的工作方案,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020210325504120315428,data/raw/policy/P020210325504120315428.pdf,加快培育新型消费实施方案 支持新型消费发展，对保障居民日常生活需要、全面促进消费、 培育完整内需体系和构建新发展格局具有重要意义。为贯彻落实党 的十九届五中全会,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020220121303052384813,data/raw/policy/P020220121303052384813.pdf,促进绿色消费实施方案 绿色消费是各类消费主体在消费活动全过程贯彻绿色低碳理 念的消费行为。近年来，我国促进绿色消费工作取得积极进展，绿 色消费理念逐步普及，但绿,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020230721357059106134,data/raw/policy/P020230721357059106134.pdf,关于促进电子产品消费的若干措施 电子产品消费是实物消费的重要品类。近年来，电子产品向数 字化、智能化发展趋势明显，由“有”向“优”的消费升级潜力旺 盛，但仍面临,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020230721360399538898,data/raw/policy/P020230721360399538898.pdf,关于促进汽车消费的若干措施 汽车消费体量大、潜力足、产业带动作用强，促进汽车消费对 稳定我国消费大盘、促进产业链高质量发展具有积极作用。为进一 步稳定和扩大汽车,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020240624569333510920,data/raw/policy/P020240624569333510920.pdf,关于打造消费新场景培育消费新增长点的措施,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020240726413585348997,data/raw/policy/P020240726413585348997.pdf,关于加力支持大规模设备更新和消费品以旧换新的若干措施,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_p020240821593575195639,data/raw/policy/P020240821593575195639.pdf,能源重点领域大规模设备更新实施方案,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_w020190905514280441190,data/raw/policy/W020190905514280441190.pdf,进一步优化供给推动消费平稳增长 促进形成强大国内市场的实施方案,政策文件；编号式文件名，标题和来源链接待补充
02_consumption_equipment_tradein,消费扩内需、消费新场景、设备更新、以旧换新、汽车/电子产品消费,policy_w020190906340655425738,data/raw/policy/W020190906340655425738.pdf,附件 关于促进消费带动转型升级的行动方案 为促进居民消费扩大和升级，带动产业结构调整升级，加快培 育发展新动力，增强经济韧性，按照国务院有关部署，主要围绕十 个,政策文件；编号式文件名，标题和来源链接待补充
03_green_low_carbon_circular_regional,绿色低碳、循环治理、生态区域转型、数据中心低碳,ndrc_2024_green_low_carbon_data_center_action_plan,data/raw/policy/ndrc_2024_green_low_carbon_data_center_action_plan.pdf,数据中心绿色低碳发展专项行动计划,发改委等部门政策文件；覆盖数据中心绿色低碳、算力和能耗治理
03_green_low_carbon_circular_regional,绿色低碳、循环治理、生态区域转型、数据中心低碳,ndrc_2024_green_low_carbon_industry_catalog,data/raw/policy/ndrc_2024_green_low_carbon_industry_catalog.pdf,绿色低碳转型产业指导目录（2024年版）,发改委等部门政策文件；覆盖绿色低碳产业目录和产业分类
03_green_low_carbon_circular_regional,绿色低碳、循环治理、生态区域转型、数据中心低碳,ndrc_changzhutan_green_transition_interpretation,data/raw/policy/ndrc_changzhutan_green_transition_interpretation.pdf,打造城市集群绿色转型新标杆——《长株潭生态绿心加快绿色转型发展实施方案》政策解读之二,发改委政策解读；从 data/new 归档，来源链接待补充
03_green_low_carbon_circular_regional,绿色低碳、循环治理、生态区域转型、数据中心低碳,ndrc_solid_waste_governance_interpretation,data/raw/policy/ndrc_solid_waste_governance_interpretation.pdf,专家解读文章之三：构建全链条治理体系 开启固体废物综合治理新征程,发改委专家解读；从 data/new 归档，来源链接待补充
03_green_low_carbon_circular_regional,绿色低碳、循环治理、生态区域转型、数据中心低碳,policy_p020200728576152165824,data/raw/policy/P020200728576152165824.pdf,长三角生态绿色一体化发展示范区总体方案 推动长江三角洲区域一体化发展，是习近平总书记亲自谋划、 亲自部署、亲自推动的重大战略。建设长三角生态绿色一体化发展 示范,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_p020200522360052470224,data/raw/policy/P020200522360052470224.pdf,公共卫生防控救治能力建设方案 这次新冠肺炎疫情，是新中国成立以来在我国发生的传播速 度最快、感染范围最广、防控难度最大的一次突发公共卫生事件。 在党中央坚强领导,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_p020210701531103755311,data/raw/policy/P020210701531103755311.pdf,“十四五”优质高效医疗卫生服务体系建设实施方案,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_p020220427327040309102,data/raw/policy/P020220427327040309102.pdf,有序扩大国家区域医疗中心建设工作方案 2019 年以来，遵照党中央、国务院部署，国家发展改革委、 国家卫生健康委、国家中医药局、国务院医改领导小组秘书处会 同有,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_p020220510324220702505,data/raw/policy/P020220510324220702505.pdf,“十四五”生物经济发展规划 科学规划、系统推进我国生物经济发展，是顺应全球生物技 术加速演进趋势、实现高水平科技自立自强的重要方向，是前瞻 布局培育壮大生物产业,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_w020190905503633747904,data/raw/policy/W020190905503633747904.pdf,高端医疗器械和药品关键技术产业化实施方案,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_w020190905517087932598,data/raw/policy/W020190905517087932598.pdf,推进医疗服务价格改革的意见,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_w020190905518984480870,data/raw/policy/W020190905518984480870.pdf,改革药品和医疗服务价格形成机制的意见,政策文件；编号式文件名，标题和来源链接待补充
04_healthcare_bioeconomy_medical,医疗卫生、健康产业、生物经济、医疗器械、药品和医疗服务价格,policy_w020191024567304692452,data/raw/policy/W020191024567304692452.pdf,促进健康产业高质量发展行动纲要 健康产业是全社会从事健康服务提供、相关产品生产经营等 活动的集合，涉及面广、产业链长、融合度高。大力发展健康产 业，是实施健康中,政策文件；编号式文件名，标题和来源链接待补充
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,ndrc_2025_low_altitude_economy_classification,data/raw/policy/ndrc_2025_low_altitude_economy_classification.pdf,低空经济及其核心产业统计分类（试行）,发改委政策文件；覆盖低空经济产业分类、制造、运营、基建和配套服务
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,ndrc_ai_high_quality_employment_article,data/raw/policy/ndrc_ai_high_quality_employment_article.pdf,以人工智能赋能高质量充分就业,发改委相关文章；从 data/new 归档，来源链接待补充
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,ndrc_ai_international_cooperation_article,data/raw/policy/ndrc_ai_international_cooperation_article.pdf,广泛开展人工智能国际合作 推动全球包容普惠发展,发改委相关文章；从 data/new 归档，来源链接待补充
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,ndrc_ai_manufacturing_power_article,data/raw/policy/ndrc_ai_manufacturing_power_article.pdf,人工智能赋能制造强国建设大有可为,发改委相关文章；从 data/new 归档，来源链接待补充
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,policy_p020230613309060086035,data/raw/policy/P020230613309060086035.pdf,职业教育产教融合赋能提升行动实施方案,政策文件；编号式文件名，标题和来源链接待补充
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,policy_w020190905516324668971,data/raw/policy/W020190905516324668971.pdf,教育现代化推进工程实施方案,政策文件；编号式文件名，标题和来源链接待补充
05_ai_education_employment_industry,人工智能、教育、就业、职业教育、产教融合、制造强国、低空经济,policy_w020191104623864832390,data/raw/policy/W020191104623864832390.pdf,国民经济和社会发展第十个五年计划科技教育发展重点专项规划（教育发展规划）,政策文件；编号式文件名，标题和来源链接待补充
06_other_investment_statistics,固定资产投资监测及其他暂未归入主主题的政策材料,policy_p020191031776387313331,data/raw/policy/P020191031776387313331.pdf,2018年11月份全国固定资产投资发展趋势监测报告,政策文件；编号式文件名，标题和来源链接待补充
